playlist,id,track,artist,album,release_date,release_year,length_ms,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
The Sound of Contemporary Country,6IC6VhpV7D8T1t037Atqpu,Tequila Makes Her Clothes Fall Off,['Joe Nichols'],III,2005-01-01,2005,187053,False,71,0.664,0.706,2,-7.045,1,0.027,0.129,1.06e-06,0.0857,0.681,93.968
The Sound of Contemporary Country,15PtPmi0iXs6Mykh4k2JQo,Light On In The Kitchen,['Ashley McBryde'],The Devil I Know,2023-09-08,2023,212120,False,55,0.629,0.548,5,-7.694,1,0.0334,0.471,2.21e-05,0.104,0.582,165.931
The Sound of Contemporary Country,6LhZAoMfux3P3DUxwOI7aG,Buy My Own Drinks,['Runaway June'],Blue Roses,2019-06-28,2019,202893,False,50,0.688,0.9,5,-4.362,1,0.0611,0.064,0.0,0.0982,0.947,155.956
The Sound of Contemporary Country,6iblnklMzUKIXAtjk5lzIy,Whiskey Lullaby (feat. Alison Krauss),"['Brad Paisley', 'Alison Krauss']",Mud On The Tires,2003-01-01,2003,259893,False,67,0.52,0.333,2,-11.508,1,0.0302,0.816,0.0,0.188,0.198,74.165
The Sound of Contemporary Country,0bPnT6i9H1p8Vd85GS6Z7I,Night Shift,['Jon Pardi'],California Sunrise,2016-05-13,2016,172253,False,79,0.63,0.754,2,-3.564,1,0.0284,0.0963,0.0,0.268,0.73,95.999
The Sound of Contemporary Country,2Fs18NaCDuluPG1DHGw1XG,Life is a Highway,['Rascal Flatts'],Me And My Gang,2006-01-01,2006,276320,False,76,0.582,0.952,5,-3.848,1,0.0731,0.00324,0.0,0.223,0.655,103.027
The Sound of Contemporary Country,5s7m2xNZWgz5FqVSIvJcGA,Save a Horse (Ride a Cowboy),['Big & Rich'],Horse of a Different Color,2004-04-20,2004,200306,False,72,0.7,0.896,2,-2.276,1,0.191,0.108,0.0,0.453,0.817,102.065
The Sound of Contemporary Country,63w0QA1wiV7QhF9jeiHETF,Angel Eyes,['Love and Theft'],Love and Theft,2012-07-24,2012,186626,False,60,0.656,0.696,8,-5.917,1,0.0261,0.0134,0.0,0.0753,0.966,108.015
The Sound of Contemporary Country,26bL4gSULWDgdIMX0pRFrG,Redneck Woman,['Gretchen Wilson'],Here For The Party,2004-05-11,2004,221333,False,67,0.499,0.825,6,-5.146,1,0.177,0.13,0.0,0.306,0.753,185.069
The Sound of Contemporary Country,2TXtN9MoV308Y0z1HvyTfV,You Make It Easy,['Jason Aldean'],Rearview Town,2018-04-13,2018,193226,False,76,0.542,0.571,7,-5.299,1,0.028,0.156,0.0,0.101,0.506,131.877
The Sound of Contemporary Country,05ZACkzW8YbRq3eFgIfSNB,Springsteen,['Eric Church'],Chief,2011-01-01,2011,263386,False,78,0.692,0.809,2,-5.935,1,0.0255,0.1,9.77e-05,0.185,0.927,104.023
The Sound of Contemporary Country,7yFhA2fUsL2oIMWlw5DaHQ,The Bones,['Maren Morris'],GIRL,2019-03-08,2019,197293,False,72,0.612,0.57,11,-6.642,0,0.0347,0.278,0.0,0.0963,0.334,77.004
The Sound of Contemporary Country,0sgnJ5LFjEy2IuQ99NEZ1C,Hell on Heels,"['Pistol Annies', 'Miranda Lambert', 'Ashley Monroe', 'Angaleena Presley']",Hell On Heels,2011-08-23,2011,194386,False,59,0.655,0.547,6,-5.829,1,0.0406,0.177,3.78e-05,0.118,0.383,132.226
The Sound of Contemporary Country,4TCeFZNjGNQIpCuZmJkkE2,God's Country,['Blake Shelton'],Fully Loaded: God's Country,2019-12-13,2019,204800,False,71,0.536,0.754,10,-5.102,1,0.0399,0.0597,4.92e-06,0.118,0.212,139.988
The Sound of Contemporary Country,58UKC45GPNTflCN6nwCUeF,Fancy Like,['Walker Hayes'],Country Stuff The Album,2022-01-21,2022,161853,False,74,0.647,0.765,1,-6.459,1,0.06,0.111,0.0,0.315,0.855,79.994
The Sound of Contemporary Country,0ZUo4YjG4saFnEJhdWp9Bt,Before He Cheats,['Carrie Underwood'],Some Hearts,2005-11-14,2005,199946,False,82,0.519,0.749,6,-3.318,0,0.0405,0.271,0.0,0.119,0.29,147.905
The Sound of Contemporary Country,2QVzUws1l5mzZ4v46tGHrC,Love You Like That,['Canaan Smith'],Bronco,2015-06-23,2015,203053,False,60,0.559,0.766,11,-5.056,1,0.0295,0.0107,6.98e-05,0.194,0.723,145.26
The Sound of Contemporary Country,1nVoLxz8C0uGgMKfywy0vf,Independence Day,['Martina McBride'],The Way That I Am,1993-09-12,1993,204626,False,64,0.712,0.63,9,-6.202,1,0.0299,0.257,6.65e-05,0.0999,0.768,118.378
