,id,isrc,track,artists,album,release_date,release_year,length_ms,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
631,4NTWZqvfQTlOMitlVn6tew,USAT21002369,The Show Goes On,['Lupe Fiasco'],Lasers,2011-03-04,2011,239613,True,72,0.591,0.889,7,-3.839,1,0.115,0.0189,0.0,0.155,0.65,143.067
632,0JNdS1n0ifOP25XvhwAMgM,USUM71106458,The Edge Of Glory,['Lady Gaga'],Born This Way,2011-01-01,2011,320586,False,66,0.581,0.772,9,-6.544,1,0.0401,0.000343,0.0191,0.11,0.361,127.952
633,3LUWWox8YYykohBbHUrrxd,USRC11000862,We R Who We R,['Kesha'],Cannibal (Expanded Edition),2010-11-19,2010,204760,False,74,0.736,0.817,8,-4.9,1,0.0407,0.00987,0.00167,0.117,0.653,119.95
634,5A6OHHy73AR5tLxgTc98zz,USAT21001800,Black and Yellow,['Wiz Khalifa'],Rolling Papers,2011-03-29,2011,217666,True,78,0.684,0.834,2,-4.524,0,0.0675,0.0646,0.0,0.271,0.538,164.02
635,2i0AUcEnsDm3dsqLrFWUCq,USJI11100019,Tonight Tonight,['Hot Chelle Rae'],Whatever,2011-11-25,2011,200466,False,72,0.686,0.783,4,-4.977,1,0.119,0.0764,0.0,0.163,0.814,99.978
636,3pYDZTJM2tVBUhIRifWVzI,USRC11000889,Blow,['Kesha'],Cannibal (Expanded Edition),2010-11-19,2010,219973,False,72,0.753,0.729,11,-3.862,0,0.0392,0.00334,5.66e-05,0.073,0.812,120.013
637,5zpDHEU12zATwLGvozxPw2,USUM71108179,Lighters,"['Bad Meets Evil', 'Bruno Mars']",Hell: The Sequel (Deluxe),2011-01-01,2011,303813,True,72,0.676,0.695,0,-8.327,1,0.245,0.352,0.0,0.119,0.144,90.268
638,4u26EevCNXMhlvE1xFBJwX,USUM71007807,If I Die Young,['The Band Perry'],The Band Perry,2010-01-01,2010,222773,False,69,0.606,0.497,4,-6.611,1,0.0277,0.348,0.0,0.275,0.362,130.739
639,4u26EevCNXMhlvE1xFBJwX,USUM71007807,If I Die Young,['The Band Perry'],The Band Perry,2010-01-01,2010,222773,False,69,0.606,0.497,4,-6.611,1,0.0277,0.348,0.0,0.275,0.362,130.739
640,0qOnSQQF0yzuPWsXrQ9paz,USAT21101071,Stereo Hearts (feat. Adam Levine),"['Gym Class Heroes', 'Adam Levine']",The Papercut Chronicles II,2011-11-11,2011,210960,False,83,0.646,0.795,9,-3.293,1,0.0976,0.0319,0.0,0.267,0.796,89.99
641,0qOnSQQF0yzuPWsXrQ9paz,USAT21101071,Stereo Hearts (feat. Adam Levine),"['Gym Class Heroes', 'Adam Levine']",The Papercut Chronicles II,2011-11-11,2011,210960,False,83,0.646,0.795,9,-3.293,1,0.0976,0.0319,0.0,0.267,0.796,89.99
642,7vWFaMq63AwkFDhS2OAg5u,USUM71026190,The Time (Dirty Bit),['Black Eyed Peas'],The Beginning (Deluxe),2010-01-01,2010,307640,False,73,0.816,0.813,6,-7.798,0,0.0664,0.0662,2.77e-06,0.602,0.436,127.979
643,6Iocm6VMu6bVNYwiDoyQFW,USUM71027542,Coming Home,"['Diddy - Dirty Money', 'Skylar Grey']",Last Train To Paris,2010-01-01,2010,238693,False,71,0.392,0.839,7,-1.921,1,0.193,0.158,0.0,0.3,0.232,168.001
644,3rfhI32Il2hVRKDkuGeeen,USJAY1000153,Hey Baby (Drop It to the Floor) (feat. T-Pain),"['Pitbull', 'T-Pain']",Planet Pit (Deluxe Version),2011-06-17,2011,234453,False,79,0.595,0.912,10,-3.428,0,0.0884,0.0434,0.0,0.259,0.762,128.024
645,2ENexcMEMsYk0rVJigVD3i,USUM71023200,Only Girl (In The World),['Rihanna'],Loud (Japan Version),2010-01-01,2010,235493,False,87,0.789,0.706,11,-4.233,0,0.0429,0.112,1.71e-05,0.0586,0.638,125.911
646,2ENexcMEMsYk0rVJigVD3i,USUM71023200,Only Girl (In The World),['Rihanna'],Loud (Japan Version),2010-01-01,2010,235493,False,87,0.789,0.706,11,-4.233,0,0.0429,0.112,1.71e-05,0.0586,0.638,125.911
647,5Qy6a5KzM4XlRxsNcGYhgH,USCM51000869,6 Foot 7 Foot,"['Lil Wayne', 'Cory Gunz']",Tha Carter IV (Complete Edition),2011-08-29,2011,248586,True,75,0.364,0.752,2,-5.429,1,0.304,0.0007,0.0,0.318,0.606,79.119
648,2OXidlnDThZR3zf36k6DVL,USCN11100095,Just A Kiss,['Lady A'],Own The Night,2011-09-13,2011,218840,False,65,0.593,0.639,1,-5.826,1,0.0307,0.446,0.0,0.0998,0.332,142.881
649,5ZVGvay4xwgXMnQWffNYeU,US58E1000234,Dirt Road Anthem,['Jason Aldean'],My Kinda Party,2010-11-02,2010,229400,False,75,0.68,0.74,2,-5.064,1,0.0355,0.342,1.81e-06,0.117,0.644,127.024
650,1DqdF42leyFIzqNDv9CjId,GBUM71003721,Dynamite,['Taio Cruz'],Rokstarr,2010-01-01,2010,203866,False,74,0.754,0.804,4,-3.177,1,0.0853,0.00332,0.0,0.0329,0.818,119.968
651,1DqdF42leyFIzqNDv9CjId,GBUM71003721,Dynamite,['Taio Cruz'],Rokstarr,2010-01-01,2010,203866,False,74,0.754,0.804,4,-3.177,1,0.0853,0.00332,0.0,0.0329,0.818,119.968
652,03tqyYWC9Um2ZqU0ZN849H,USWB11002103,No Hands (feat. Roscoe Dash & Wale),"['Waka Flocka Flame', 'Roscoe Dash', 'Wale']",Flockaveli,2010-10-01,2010,263773,True,79,0.76,0.595,1,-6.366,1,0.0391,0.00544,0.0,0.241,0.361,131.497
653,5cCAZS9VhLGEDV4NCfieeg,USJI11100095,I Wanna Go,['Britney Spears'],Femme Fatale (Deluxe Version),2011-03-28,2011,210266,False,71,0.696,0.546,5,-6.55,1,0.0414,0.00379,3.8e-06,0.332,0.787,130.002
654,608a1wIsSd5KzMEqm1O7w3,USCM51100126,I'm On One,"['DJ Khaled', 'Drake', 'Rick Ross', 'Lil Wayne']",We The Best Forever,2011-01-01,2011,296146,True,74,0.413,0.807,11,-3.499,0,0.318,0.0536,0.0,0.631,0.438,149.33
655,16Of7eeW44kt0a1M0nitHM,USAT21100959,You Make Me Feel... (feat. Sabi),"['Cobra Starship', 'Sabi']",Night Shades,2011-08-29,2011,215693,False,73,0.668,0.857,7,-2.944,0,0.0535,0.0191,6.71e-06,0.0385,0.748,131.959
656,2QtxlzvSBONjs1bDC34ixs,USJI11000230,Yeah 3x,['Chris Brown'],F.A.M.E. (Expanded Edition),2011-03-22,2011,241666,True,71,0.705,0.882,11,-3.201,0,0.0445,0.000369,1.16e-06,0.0934,0.7,130.0
657,1ia019RqDK2o4QiANR1Dyn,USCM51000722,Moment 4 Life,"['Nicki Minaj', 'Drake']",Pink Friday,2010-01-01,2010,279306,True,75,0.475,0.882,11,-3.883,1,0.351,0.406,0.0,0.241,0.369,98.001
658,70ATm56tH7OrQ1zurYssz0,USUM71029031,I Need A Doctor,"['Dr. Dre', 'Eminem', 'Skylar Grey']",I Need A Doctor,2011-02-01,2011,283733,True,73,0.594,0.946,3,-4.521,1,0.452,0.0869,0.0,0.306,0.397,155.826
659,3ZdJffjzJWFimSQyxgGIxN,USUM71020948,Just A Dream,['Nelly'],5.0,2010-11-12,2010,237800,False,79,0.531,0.752,1,-6.161,1,0.0305,0.0421,0.0,0.12,0.103,89.917
660,3ZdJffjzJWFimSQyxgGIxN,USUM71020948,Just A Dream,['Nelly'],5.0,2010-11-12,2010,237800,False,79,0.531,0.752,1,-6.161,1,0.0305,0.0421,0.0,0.12,0.103,89.917
661,6rbhWExtuchhpLC5fHnB8n,USUM71103562,Motivation,"['Kelly Rowland', 'Lil Wayne']",Here I Am (Deluxe Version),2011-01-01,2011,230560,False,68,0.744,0.672,9,-5.589,0,0.0418,0.187,0.000123,0.105,0.266,140.889
662,1aklRy3btsbucImSXvR2SY,ROCMA0901578,Stereo Love - Original,"['Edward Maya', 'Vika Jigulina']",Stereo Love,2009-01-01,2009,248666,False,65,0.781,0.787,9,-5.358,1,0.0383,0.0392,0.0127,0.0745,0.341,127.038
663,0HZhYMZOcUzZKSFwPOti6m,USAT21001508,jar of hearts,['Christina Perri'],lovestrong.,2011-05-10,2011,246587,False,75,0.349,0.348,3,-6.142,1,0.0316,0.726,0.0,0.12,0.0886,74.541
664,53DB6LJV9B8sz0p1s6tlGS,USAT21100050,Roll Up,['Wiz Khalifa'],Rolling Papers,2011-03-29,2011,227773,True,64,0.523,0.805,3,-5.473,1,0.192,0.0524,0.0,0.0914,0.602,125.358
665,0obBFrPYkSoBJbvHfUIhkv,USUM71108090,Sexy And I Know It,['LMFAO'],Sorry For Party Rocking (Deluxe Version),2011-01-01,2011,199480,False,66,0.707,0.861,7,-4.225,1,0.316,0.1,0.0,0.191,0.795,130.021
666,0obBFrPYkSoBJbvHfUIhkv,USUM71108090,Sexy And I Know It,['LMFAO'],Sorry For Party Rocking (Deluxe Version),2011-01-01,2011,199480,False,66,0.707,0.861,7,-4.225,1,0.316,0.1,0.0,0.191,0.795,130.021
667,45sDIKapDyxPl307QpEAwl,USUM71022782,Rocketeer,"['Far East Movement', 'Ryan Tedder', 'Ruff Loaderz']",Free Wired,2010-01-01,2010,211253,False,69,0.664,0.845,4,-6.115,0,0.0461,0.181,0.0,0.267,0.357,96.005
668,22L7bfCiAkJo5xGSQgmiIO,USUM71027273,All Of The Lights,['Kanye West'],My Beautiful Dark Twisted Fantasy,2010-11-22,2010,299613,True,82,0.531,0.803,1,-3.284,1,0.0717,0.0796,1.71e-05,0.176,0.221,142.113
669,7Dyq1bhhjknLKEGg4k5NLr,USJI11000320,Hold It Against Me,['Britney Spears'],Femme Fatale (Deluxe Version),2011-03-28,2011,228826,False,60,0.648,0.722,0,-4.813,0,0.0427,0.0103,0.0,0.24,0.389,132.973
670,0aBKFfdyOD1Ttvgv0cfjjJ,USLF21000098,More - RedOne Jimmy Joker Remix,['USHER'],More,2010-11-22,2010,219986,False,73,0.551,0.893,7,-2.628,1,0.0543,0.00166,0.0,0.348,0.794,125.083
671,2z4U9d5OAA4YLNXoCgioxo,USRC11000915,What the Hell,['Avril Lavigne'],Goodbye Lullaby (Expanded Edition),2011-03-08,2011,220706,False,76,0.578,0.926,6,-3.689,0,0.0548,0.00472,0.0127,0.14,0.877,149.976
672,61HQWI1Woxup7CnGwVUsdI,GB7TP0900044,Written in the Stars (feat. Eric Turner),"['Tinie Tempah', 'Eric Turner']",Disc-Overy,2010-05-31,2010,219560,True,55,0.644,0.945,7,-3.534,1,0.0717,0.0587,0.0,0.184,0.573,91.017
673,4AYX69oFP3UOS1CFmV9UfO,USAT21001515,Bottoms Up (feat. Nicki Minaj),"['Trey Songz', 'Nicki Minaj']","Passion, Pain & Pleasure (Deluxe Version)",2010-09-14,2010,242013,True,75,0.844,0.601,1,-5.283,1,0.157,0.0205,0.0,0.385,0.331,73.989
674,4AYX69oFP3UOS1CFmV9UfO,USAT21001515,Bottoms Up (feat. Nicki Minaj),"['Trey Songz', 'Nicki Minaj']","Passion, Pain & Pleasure (Deluxe Version)",2010-09-14,2010,242013,True,75,0.844,0.601,1,-5.283,1,0.157,0.0205,0.0,0.385,0.331,73.989
