playlist,id,track,artist,album,release_date,release_year,length_ms,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
The Sound of Hip Hop,52IuMfbQa9aqRPz2oYPAI8,Express Yourself,['N.W.A.'],Straight Outta Compton,1988-08-08,1988,265101,True,65,0.851,0.583,8,-11.022,0,0.286,0.0506,0.0,0.236,0.956,95.048
The Sound of Hip Hop,7sT3O2PXs1o12XnCKlv204,Drop,['The Pharcyde'],Labcabincalifornia (Deluxe Edition),1995-01-01,1995,334466,True,57,0.853,0.754,10,-7.158,0,0.259,0.335,6.21e-06,0.252,0.69,95.081
The Sound of Hip Hop,5g9lS8deSIxItFBmZRC4vN,Ambitionz Az A Ridah,['2Pac'],All Eyez On Me,1996-02-13,1996,278386,True,81,0.801,0.91,2,-6.566,1,0.225,0.00239,0.000891,0.0737,0.805,87.277
The Sound of Hip Hop,7dFGkZbmm6cVlI28bfMaWE,Righteous Minds,['Joey Bada$$'],1999,2012-06-12,2012,224042,True,72,0.809,0.638,8,-5.646,0,0.28,0.262,0.0,0.453,0.608,94.893
The Sound of Hip Hop,7KXjTSCq5nL1LoYtL7XAwS,HUMBLE.,['Kendrick Lamar'],DAMN.,2017-04-14,2017,177000,True,87,0.908,0.621,1,-6.638,0,0.102,0.000282,5.39e-05,0.0958,0.421,150.011
The Sound of Hip Hop,3NGT0Td7H4Is1qrlDQJxma,Check Yo Self - Remix,"['Ice Cube', 'Das EFX']",Bootlegs And B-Sides,1994-11-22,1994,273106,True,73,0.934,0.735,1,-6.668,1,0.251,0.031,8.6e-06,0.107,0.768,101.368
The Sound of Hip Hop,2eXKIiuLZdn1H0yNAW7Fvm,Criminal Minded,['Boogie Down Productions'],Criminal Minded (Deluxe),1987-03-03,1987,317697,True,33,0.917,0.517,6,-11.529,1,0.363,0.0778,0.0,0.194,0.794,90.814
The Sound of Hip Hop,5jnxxpX2834SB6LJ0S73Uz,Lollipop,"['Lil Wayne', 'Static Major']",Tha Carter III,2008-01-01,2008,299333,True,72,0.829,0.428,0,-9.469,1,0.0831,0.056,0.00413,0.137,0.45,148.075
The Sound of Hip Hop,4hGmQboiou09EwhcTWa0H6,Another One Of Me (feat. 21 Savage),"['Diddy', 'The Weeknd', 'French Montana', '21 Savage']",The Love Album: Off The Grid,2023-09-15,2023,220408,True,66,0.67,0.562,5,-7.653,0,0.233,0.252,0.0,0.242,0.18,97.919
The Sound of Hip Hop,76kceotndtU22uqo45iGql,Freaks of the Industry,['Digital Underground'],Sex Packets,1990-03-26,1990,340906,False,43,0.674,0.43,6,-13.562,0,0.263,0.107,7.36e-05,0.116,0.386,88.543
The Sound of Hip Hop,39QBkWKnap8wRSW4WB9OK0,Gin and Juice,['Snoop Dogg'],Doggystyle,1993-11-23,1993,211866,True,77,0.603,0.762,4,-7.744,0,0.285,0.0953,1.53e-05,0.478,0.379,94.726
The Sound of Hip Hop,5esVkhazOeanQVdlJUkNpY,"Pacifics - From The Original Motion Picture Soundtrack “N.Y. Is Red Hot""",['Digable Planets'],Reachin' (A New Refutation Of Time And Space),1993-01-01,1993,271373,False,54,0.736,0.405,5,-16.561,0,0.316,0.228,0.00961,0.108,0.854,180.496
The Sound of Hip Hop,4CKYscH2FY8iXrHehW9SHk,Shake That (Remix),"['Nate Dogg', 'Eminem', 'Obie Trice', 'Bobby Creekwater']",Eminem Presents The Re-Up,2006-01-01,2006,179560,True,55,0.945,0.701,8,-3.749,1,0.158,0.0872,3.32e-06,0.147,0.617,107.036
The Sound of Hip Hop,7aK5rlTVxSgcqShPMI1TTH,Nosetalgia,"['Pusha T', 'Kendrick Lamar']",My Name Is My Name,2013-10-31,2013,216066,True,63,0.529,0.78,5,-3.932,1,0.326,0.0255,0.0,0.14,0.711,80.018
