playlist,id,track,artist,album,release_date,release_year,length_ms,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
The Sound of Rock,0WIbzDVEpmOyBnqqdtqIL9,Teen Age Riot (Album Version),['Sonic Youth'],Daydream Nation (Deluxe Edition),1988-10-04,1988,417800,False,63,0.286,0.907,7,-9.67,1,0.0374,0.000277,0.202,0.0837,0.746,156.395
The Sound of Rock,2olVm1lHicpveMAo4AUDRB,The Power Of Love,['Huey Lewis & The News'],Greatest Hits: Huey Lewis And The News,2006-01-01,2006,234333,False,79,0.768,0.829,5,-5.109,1,0.0313,0.0964,2.92e-05,0.097,0.962,118.773
The Sound of Rock,4qO03RMQm88DdpTJcxlglY,Call Me,['Blondie'],Atomic/Atomix,1999-01-01,1999,212600,False,77,0.56,0.825,2,-6.711,0,0.0347,0.000785,0.00246,0.0892,0.74,142.669
The Sound of Rock,2hitsKa8SthKhRJBXUHbIv,Our House,"['Crosby, Stills, Nash & Young']",Deja Vu,1970-03-11,1970,179760,False,71,0.592,0.205,9,-14.601,1,0.048,0.896,5.46e-05,0.119,0.378,140.282
The Sound of Rock,6Nm8h73ycDG2saCnZV8poF,Dragula,['Rob Zombie'],Hellbilly Deluxe,1998-01-01,1998,222826,False,81,0.591,0.963,0,-6.489,0,0.0531,8.74e-05,0.000107,0.0781,0.609,125.03
The Sound of Rock,3ODl8J0TZAykdMCtCIO28n,Another Way to Die,"['Jack White', 'Alicia Keys']",As I Am (Expanded Edition),2007-11-09,2007,262240,False,58,0.486,0.765,4,-4.23,0,0.128,0.0239,3.02e-05,0.11,0.386,141.933
The Sound of Rock,5pSvjjfsh34sLrkYSNGCl4,Down Under,['Men At Work'],Business As Usual,1981-01-01,1981,225706,False,66,0.738,0.809,11,-4.368,0,0.026,0.0964,0.00918,0.18,0.906,107.233
The Sound of Rock,6JIC3hbC28JZKZ8AlAqX8h,Cold Heart - PNAU Remix,"['Elton John', 'Dua Lipa', 'PNAU']",The Lockdown Sessions,2021-10-22,2021,202735,False,84,0.795,0.8,1,-6.32,1,0.0309,0.0354,7.25e-05,0.0915,0.934,116.032
The Sound of Rock,3cFnb3Rg9a7Gzqxc5QQ9YZ,Got The Time,['Anthrax'],Persistence Of Time (30th Anniversary Remaster),1990-08-21,1990,164333,False,63,0.371,0.973,10,-5.303,0,0.135,0.000641,0.00163,0.0423,0.444,127.721
The Sound of Rock,6s0NHplywwr1IjnQpUpWJk,Bad To The Bone,['George Thorogood & The Destroyers'],BAD TO THE BONE,1982-01-01,1982,292173,False,72,0.459,0.727,0,-11.777,1,0.0303,0.00614,0.0652,0.384,0.955,149.231
The Sound of Rock,6xq5DxZWGgdStAxGAil0yw,Since You Been Gone,['Rainbow'],Down To Earth,1979-01-01,1979,197160,False,71,0.733,0.726,7,-6.514,1,0.0371,0.379,2.58e-06,0.471,0.915,120.814
The Sound of Rock,3MjrueDQKVr6xDDseZwhEd,Figure It Out,['Royal Blood'],Royal Blood,2014-08-22,2014,183602,False,70,0.658,0.814,0,-4.631,1,0.0558,0.229,0.00676,0.216,0.69,108.016
The Sound of Rock,1UKobFsdqNXQb8OthimCKe,Helplessly Hoping - 2005 Remaster,"['Crosby, Stills & Nash']","Crosby, Stills & Nash",1969-05-29,1969,157893,False,71,0.483,0.159,7,-13.648,1,0.0353,0.914,0.0,0.111,0.423,146.721
